0023    296.641   -354.198  05:37:09.38  +34:05:44.1    10.571    0.010    10.523    0.007    10.424    0.006    99.999    9.999    10.263    0.004    10.052    0.018    10.017    0.018     9.993    0.017    1.443    0.060   -0.249    0.101   -4.510    0.079    0.00
0024    474.369    665.594  05:36:07.22  +34:08:03.5    10.341    0.005    10.528    0.022    10.428    0.007    10.361    0.005    10.197    0.004    10.048    0.018    10.023    0.020    10.008    0.017    0.691    0.118   -0.535    0.237   -3.461    0.171    0.86
0025    123.549    728.682  05:36:03.27  +34:03:38.0    10.654    0.005    10.614    0.015    10.513    0.007    10.401    0.003    10.295    0.003    10.177    0.019    10.179    0.018    10.164    0.017    0.890    0.039    0.148    0.074   -5.375    0.053    0.00
0026    304.415   -119.377  05:36:55.06  +34:05:51.3    10.700    0.007    10.663    0.008    10.588    0.004    99.999    9.999    10.454    0.006    10.252    0.018    10.253    0.018    10.242    0.017    1.090    0.046    0.510    0.078   -2.788    0.062    0.17
0027    638.343    730.784  05:36:03.29  +34:10:08.0    10.457    0.005    10.684    0.009    10.600    0.013    10.564    0.003    10.440    0.002    10.386    0.018    10.385    0.020    10.400    0.017    0.784    0.050   -0.401    0.093   -3.973    0.068    0.48
0028    663.835    796.585  05:35:59.28  +34:10:27.5    10.322    0.004    10.699    0.007    10.625    0.004    10.544    0.004    10.414    0.002    10.386    0.016    10.377    0.020    10.409    0.017    0.724    0.058   -0.420    0.100   -3.482    0.076    0.91
0029    402.246    552.470  05:36:14.10  +34:07:08.5    10.462    0.002    10.754    0.011    10.670    0.004    10.652    0.006    10.518    0.004    10.399    0.027    10.408    0.020    10.427    0.022    0.807    0.040   -0.455    0.086   -3.849    0.061    0.65
0030    149.970    212.022  05:36:34.78  +34:03:55.9    10.374    0.004    10.764    0.007    10.683    0.004    10.560    0.004    10.563    0.004    10.429    0.018    10.437    0.017    10.451    0.016    0.643    0.050   -0.179    0.090   -3.452    0.066    0.95
0031    604.380    434.151  05:36:21.39  +34:09:41.1    10.561    0.005    10.814    0.009    10.688    0.004    10.615    0.005    10.486    0.003    10.398    0.018    10.406    0.017    10.403    0.015    0.843    0.043    0.116    0.079   -3.474    0.059    0.93
0032    547.667    578.267  05:36:12.57  +34:08:58.7    10.503    0.003    10.846    0.007    10.767    0.004    10.708    0.005    10.665    0.005    10.509    0.018    10.542    0.017    10.542    0.015    0.796    0.050   -0.066    0.099   -3.647    0.070    0.92
0033    407.960    532.841  05:36:15.30  +34:07:12.7    10.656    0.003    10.943    0.012    10.780    0.003    10.669    0.005    10.588    0.004    10.405    0.018    10.389    0.019    10.383    0.016    0.825    0.045   -0.607    0.089   -3.162    0.063    0.76
0034    434.413   1022.685  05:35:45.42  +34:07:34.5    11.611    0.005    11.301    0.007    10.843    0.005    10.605    0.027    10.276    0.007     9.890    0.016     9.710    0.020     9.659    0.017    1.207    0.046    4.449    0.091   -2.782    0.069    0.00
0035    790.657    688.250  05:36:05.93  +34:12:03.2    10.546    0.004    10.890    0.009    10.932    0.005    10.839    0.005    10.722    0.003    10.712    0.018    10.700    0.018    10.698    0.017    0.764    0.093   -1.060    0.209   -4.228    0.182    0.01
0036    655.466   -405.414  05:37:12.67  +34:10:15.7    13.815    0.012    12.321    0.003    10.956    0.005    99.999    9.999     9.555    0.010     8.481    0.005     7.824    0.015     7.698    0.015    1.122    0.051    4.794    0.085  -12.756    0.063    0.00
0037    972.654    651.489  05:36:08.23  +34:14:21.0    12.547    0.005    11.975    0.005    10.970    0.005    99.999    9.999     9.762    0.007     9.134    0.016     8.679    0.017     8.579    0.017    1.084    0.042    6.749    0.081   -5.256    0.059    0.00
0038    846.893   -371.693  05:37:10.70  +34:12:40.9    11.539    0.009    11.351    0.003    11.013    0.005    10.800    0.009    10.630    0.005    10.319    0.018    10.211    0.020    10.182    0.016    2.263    0.058    1.571    0.091   -2.947    0.068    0.00
0039   -163.438    699.560  05:36:04.96  +34:00:00.4    99.999    9.999    11.325    0.006    11.132    0.004    11.033    0.009    10.930    0.008    10.714    0.019    10.664    0.018    10.638    0.017    1.584    0.047   -1.846    0.101   -4.503    0.074    0.00
0040   -163.493    699.184  05:36:04.98  +34:00:00.4    99.999    9.999    99.999    9.999    11.139    0.007    11.050    0.027    10.941    0.010    10.714    0.019    10.664    0.018    10.638    0.017    1.584    0.047   -1.846    0.101   -4.503    0.074    0.00
0041    410.339    420.749  05:36:22.14  +34:07:14.1    11.010    0.003    11.318    0.004    11.163    0.003    11.125    0.006    11.019    0.004    10.894    0.018    10.865    0.019    10.883    0.018    0.815    0.050   -0.458    0.092   -3.522    0.069    0.89
0042    698.829   1074.662  05:35:42.31  +34:10:55.0    10.853    0.007    11.256    0.006    11.247    0.004    11.189    0.008    11.110    0.008    10.983    0.018    10.949    0.020    10.961    0.018    1.026    0.075   -0.343    0.117   -3.164    0.093    0.91
0043    572.051    752.117  05:36:01.97  +34:09:17.9    11.148    0.004    11.428    0.005    11.279    0.003    11.118    0.003    10.999    0.003    10.832    0.018    10.767    0.021    10.771    0.018    0.822    0.043    0.051    0.080   -3.837    0.059    0.79
0044    199.524    -97.348  05:36:53.67  +34:04:31.9    12.011    0.009    11.963    0.003    11.318    0.003    10.917    0.008    10.580    0.004     9.989    0.018     9.634    0.018     9.583    0.015   99.999    9.999   99.999    9.999   99.999    9.999    9.99
0045   -148.649    394.909  05:36:23.53  +34:00:10.4    11.078    0.006    11.401    0.004    11.319    0.003    11.225    0.007    11.176    0.005    11.033    0.019    11.017    0.019    11.029    0.016    0.770    0.047   -0.310    0.083   -3.476    0.061    0.93
0046    969.175    528.282  05:36:15.76  +34:14:17.9    11.277    0.004    11.770    0.004    11.324    0.007    11.060    0.004    10.598    0.005    10.264    0.018    10.181    0.017    10.135    0.017    0.528    0.041    0.619    0.074   -3.335    0.057    0.47
0047    399.737    594.248  05:36:11.55  +34:07:06.7    11.145    0.003    11.441    0.004    11.338    0.003    11.272    0.005    11.194    0.004    11.063    0.018    11.068    0.020    11.074    0.017    0.896    0.046   -0.109    0.085   -3.190    0.065    0.94
0048   -522.970    647.714  05:36:08.01  +33:55:27.8    11.249    0.006    11.596    0.003    11.455    0.004    11.334    0.004    11.226    0.004    10.987    0.019    10.910    0.018    10.922    0.018    0.565    0.052    0.368    0.091   -2.565    0.069    0.06
0049    670.048    921.288  05:35:51.67  +34:10:32.7    11.323    0.005    11.609    0.005    11.512    0.005    11.445    0.005    11.243    0.005    11.174    0.016    11.123    0.018    11.137    0.017    0.835    0.048    0.048    0.086   -3.347    0.065    0.94
0050    807.005    466.479  05:36:19.48  +34:12:14.8    11.359    0.004    11.717    0.004    11.530    0.004    11.482    0.004    11.278    0.002    11.150    0.018    11.130    0.019    11.154    0.017    0.816    0.042    0.201    0.095   -3.451    0.072    0.91
0051    582.297    657.419  05:36:07.75  +34:09:25.3    11.642    0.003    11.795    0.004    11.593    0.004    11.454    0.004    11.218    0.004    10.991    0.016    10.897    0.018    10.881    0.017    0.721    0.042   -0.239    0.081   -3.267    0.058    0.94
0052    780.791   -115.112  05:36:55.00  +34:11:52.2    14.139    0.010    12.998    0.000    11.734    0.004    11.049    0.007    10.425    0.006     9.449    0.018     8.828    0.023     8.714    0.014    0.745    0.037    3.308    0.072   -8.904    0.053    0.00
0053    844.457    443.758  05:36:20.88  +34:12:43.1    11.656    0.004    11.872    0.003    11.750    0.004    11.545    0.004    11.453    0.003    11.352    0.018    11.328    0.017    11.312    0.018    0.794    0.044   -0.230    0.085   -3.344    0.068    0.94
0054   1300.399   -177.545  05:36:59.03  +34:18:25.5    12.410    0.007    12.052    0.003    11.764    0.004    11.594    0.006    11.414    0.012    11.084    0.018    10.996    0.018    10.976    0.014    0.926    0.041    2.403    0.078   -7.053    0.058    0.00
0055    206.683    745.850  05:36:02.24  +34:04:41.0    12.043    0.005    12.121    0.004    11.797    0.003    11.559    0.004    11.215    0.004    10.831    9.990    10.496    0.035    10.429    0.039    0.592    0.041   -0.138    0.080   -2.528    0.058    0.11
0056    651.587   1236.032  05:35:32.44  +34:10:19.6    11.780    0.007    11.926    0.006    11.842    0.004    11.779    0.007    11.691    0.009    11.530    0.016    11.526    0.018    11.518    0.018    0.943    0.052   -0.559    0.095   -3.776    0.071    0.65
0057    125.873    147.188  05:36:38.73  +34:03:37.3    12.373    0.007    12.384    0.002    11.847    0.005    11.501    0.004    11.154    0.004    10.721    0.019    10.462    0.019    10.437    0.016    2.090    0.048    0.391    0.076  -22.243    0.054    0.00
0058    421.037    318.930  05:36:28.36  +34:07:21.7    11.819    0.005    11.976    0.003    11.854    0.004    11.716    0.005    11.664    0.004    11.462    0.018    11.422    0.017    11.402    0.018    0.833    0.045   -0.354    0.082   -3.636    0.058    0.89
0059    663.438    184.832  05:36:36.63  +34:10:24.8    11.855    0.005    12.082    0.002    11.869    0.005    11.836    0.005    11.574    0.019    11.411    0.031    10.938    9.990    10.836    9.990    0.851    0.038    0.473    0.069   -3.275    0.051    0.72
0060    319.621    739.237  05:36:02.68  +34:06:06.6    11.843    0.006    11.982    0.003    11.880    0.004    11.767    0.005    11.642    0.005    11.587    0.019    11.567    0.020    11.587    0.017    0.748    0.043   -0.276    0.075   -3.420    0.056    0.94
0061     98.565    434.470  05:36:21.20  +34:03:17.9    12.165    0.007    12.177    0.003    11.972    0.004    11.843    0.004    11.653    0.004    11.378    0.019    11.268    0.020    11.217    0.018    0.601    0.325   -4.343    0.525   -6.150    0.439    0.00
0062    457.394    324.305  05:36:28.04  +34:07:49.3    12.008    0.004    12.181    0.003    12.007    0.004    11.917    0.004    11.845    0.005    11.658    0.019    11.587    0.020    11.587    0.021    0.879    0.037   -0.161    0.067   -3.476    0.050    0.95
0063     39.362    896.982  05:35:52.98  +34:02:34.8    12.623    0.007    12.420    0.003    12.039    0.004    11.816    0.006    11.514    0.006    11.119    0.019    10.987    0.020    10.937    0.017    0.520    0.040    0.490    0.081   -2.497    0.060    0.01
0064   1129.669    547.486  05:36:14.64  +34:16:19.6    11.932    0.006    12.158    0.005    12.091    0.005    11.997    0.005    11.894    0.006    11.782    0.019    11.777    0.019    11.791    0.020    0.792    0.041    0.545    0.074   -2.426    0.058    0.00
0065   1412.230    134.471  05:36:40.00  +34:19:51.8    12.701    0.008    12.438    0.006    12.101    0.005    11.923    0.006    11.688    0.007    11.375    0.019    11.296    0.020    11.255    0.020    1.329    0.048    1.813    0.085   -2.881    0.065    0.00
0066   -133.960   1019.241  05:35:45.48  +34:00:23.8    12.264    0.006    12.287    0.003    12.107    0.004    11.990    0.006    11.838    0.006    11.619    0.019    11.625    0.021    11.509    0.018   99.999    9.999   99.999    9.999   99.999    9.999    9.99
0067    234.563    509.982  05:36:16.64  +34:05:01.2    12.279    0.005    12.271    0.003    12.120    0.003    12.013    0.005    11.867    0.004    11.650    0.018    11.597    0.017    11.571    0.018    0.879    0.042   -0.479    0.080   -3.398    0.059    0.89
0068    483.120    439.854  05:36:21.00  +34:08:09.3    12.813    0.007    12.476    0.006    12.128    0.004    11.927    0.005    11.703    0.010    11.395    0.019    11.289    0.020    11.241    0.018    1.031    0.038    2.895    0.072   -6.260    0.054    0.00
